Pincode,Hub_Name,Hub_lat,Hub_long,Volumetric Lat,Volumetric Long,Distance,SP&A Aligned P mapping
271881,NNP_Nanpara_TH,27.8758093,81.49894536,27.98890562,81.58280015,16.3203,₹3
271882,NNP_Nanpara_TH,27.8758093,81.49894536,27.78349761,81.54103125,11.8664,₹2
382715,KAI_Kadi,23.29368439,72.34998198,23.29179544,72.34095195,1.5667,₹0
382705,KAI_Kadi,23.29368439,72.34998198,23.3752146,72.4255963,15.254299999999999,₹3
382728,KAI_Kadi,23.29368439,72.34998198,23.1868264,72.3613895,16.2503,₹3
382165,KAI_Kadi,23.29368439,72.34998198,23.15814228,72.25041343,20.512900000000002,₹4
494111,SUK_Sukma,18.38955794,81.66069565,18.45832854,81.68655917,9.0893,₹1
813106,BAKA_Katoria,24.74188656,86.71428492,24.75113896,86.72594291,1.8839000000000001,₹0
854337,PUI_Belouri,25.71020858,87.51639978,25.69016763,87.56663201,7.5732,₹1
495674,KRBA_Korba,22.20399103,82.83208533,22.23494871,82.79404517,7.3348,₹1
246722,DPR_Afzalgarh,29.38857039,78.67781115,29.39993212,78.70877914,2.8642,₹0
246747,DPR_Afzalgarh,29.38857039,78.67781115,29.32988417,78.60426393,15.2053,₹3
271871,BRK_Payagpur,27.40285507,81.80501402,27.41613706,81.78940106,4.0981000000000005,₹0
271872,BRK_Payagpur,27.40285507,81.80501402,27.36172547,81.6952106,13.7055,₹2
271870,BRK_Payagpur,27.40285507,81.80501402,27.47499234,81.68353255,19.3876,₹3
251201,MZA_Meerapur,29.29327229,77.72982815,29.27963589,77.73313047,1.6097000000000001,₹0
251203,MZA_Meerapur,29.29327229,77.72982815,29.36389842,77.71473162,10.2666,₹2
251314,MZA_Meerapur,29.29327229,77.72982815,29.32213817,77.85052249,15.214,₹3
251315,MZA_Meerapur,29.29327229,77.72982815,29.28872132,77.94420185,23.5835,₹4
812001,BGP_Bhagalpur_TH,25.21365251,86.95521182,25.24973836,86.9895948,6.5884,₹1
812002,BGP_Bhagalpur_TH,25.21365251,86.95521182,25.24225636,86.96970751,4.1308,₹0
812004,BGP_Bhagalpur_TH,25.21365251,86.95521182,25.2437156,86.92860801,6.9813,₹1
812005,BGP_Bhagalpur_TH,25.21365251,86.95521182,25.21320903,86.97190802,3.8473,₹0
812006,BGP_Bhagalpur_TH,25.21365251,86.95521182,25.20920627,86.92498408,4.9488,₹0
606303,PNDMI_Tittakudi,11.39402786,79.12133581,11.44861803,78.97817578,21.8059,₹4
606106,PNDMI_Tittakudi,11.39402786,79.12133581,11.42125736,79.10545556,5.6151,₹1
606111,PNDMI_Tittakudi,11.39402786,79.12133581,11.41766588,79.19479551,13.726899999999999,₹2
621730,PNDMI_Tittakudi,11.39402786,79.12133581,11.36866738,79.2123412,13.9108,₹2
606105,PNDMI_Tittakudi,11.39402786,79.12133581,11.41708501,79.25866578,16.759900000000002,₹3
621709,PNDMI_Tittakudi,11.39402786,79.12133581,11.34191509,79.15275537,8.7849,₹1
621716,PNDMI_Tittakudi,11.39402786,79.12133581,11.30281574,79.10080251,12.088299999999998,₹2
423107,SNSI_Shirdi,19.71007158,74.48223612,19.7201042,74.47111001,2.5605,₹0
423109,SNSI_Shirdi,19.71007158,74.48223612,19.76885625,74.47832756,7.6774,₹1
413719,SNSI_Shirdi,19.71007158,74.48223612,19.69369104,74.55396109,9.6051,₹1
413708,SNSI_Shirdi,19.71007158,74.48223612,19.82631238,74.57566305,21.793,₹4
247129,SRE_Behat,30.17558084,77.6117254,30.14161047,77.70092522,14.265,₹2
247120,SRE_Behat,30.17558084,77.6117254,30.08800359,77.61741239,11.6885,₹2
247121,SRE_Behat,30.17558084,77.6117254,30.19893891,77.60370311,3.7078,₹0
247554,DBD_DeobandRD,29.69724737,77.68403341,29.69872632,77.68432272,0.9309,₹0
247551,DBD_DeobandRD,29.69724737,77.68403341,29.83207277,77.64497087,18.9883,₹3
413307,PVR_Sangola,17.45529177,75.17606142,17.39590649,75.13637533,8.2934,₹1
413309,PVR_Sangola,17.45529177,75.17606142,17.29378745,75.22102195,20.0951,₹4
801102,PNBE_Naubatpur,25.49915045,84.95997089,25.38827906,84.8702091,21.0755,₹4
801113,PNBE_Naubatpur,25.49915045,84.95997089,25.57086201,84.98219755,10.357899999999999,₹2
801109,PNBE_Naubatpur,25.49915045,84.95997089,25.49042097,84.95577661,1.4323,₹0
496227,KNRI_Tapkara,22.50537196,83.95027959,22.51640997,83.95566035,1.1932,₹0
496245,KNRI_Tapkara,22.50537196,83.95027959,22.41382742,83.90701944,16.954099999999997,₹3
497335,BRH_Baikunthpur_E,23.28566346,82.55408951,23.27244943,82.55852967,2.473,₹0
822111,LTHR_Barwadih,23.84930737,84.11547523,23.86521846,84.13219852,2.6995999999999998,₹0
244927,RMU_Suar,28.9791318,78.94261305,28.92447638,78.98731294,8.5526,₹1
244925,RMU_Suar,28.9791318,78.94261305,29.00072352,78.96291259,3.5471,₹0
506301,WGC_Stationghanpur,17.84922841,79.37647369,17.84701085,79.34178445,7.5311,₹1
506316,WGC_Stationghanpur,17.84922841,79.37647369,17.75613329,79.46433715,21.9045,₹4
506143,WGC_Stationghanpur,17.84922841,79.37647369,17.84191827,79.40556284,4.0094,₹0
506144,WGC_Stationghanpur,17.84922841,79.37647369,17.87569596,79.38120689,4.2832,₹0
413107,PVR_Malshiras,17.87136697,74.84230603,17.81784343,74.89007094,16.1844,₹3
413109,PVR_Malshiras,17.87136697,74.84230603,17.93536164,74.75546905,14.2584,₹2
413111,PVR_Malshiras,17.87136697,74.84230603,17.84821048,74.81592297,6.538600000000001,₹1
247665,IQB_Iqbalpur,29.91463562,77.8378002,29.80782804,77.7864327,19.8812,₹3
247661,IQB_Iqbalpur,29.91463562,77.8378002,29.9482789,77.80266645,10.0444,₹2
134203,RAA_Naraingarh,30.48487736,77.12802252,30.4847246,77.1282226,0.025,₹0
134202,RAA_Naraingarh,30.48487736,77.12802252,30.43054781,77.01704426,16.9073,₹3
134204,RAA_Naraingarh,30.48487736,77.12802252,30.59059501,77.02380957,16.2368,₹3
134201,RAA_Naraingarh,30.48487736,77.12802252,30.44683081,76.94905254,25.7063,₹5
274408,DEO_RampurKarkhana,26.5777101,83.83371266,26.62104795,83.90342361,10.4713,₹2
274405,DEO_RampurKarkhana,26.5777101,83.83371266,26.57763054,83.85941547,3.4515,₹0
274404,DEO_RampurKarkhana,26.5777101,83.83371266,26.56356992,83.94832882,14.5495,₹2
577541,CTA_Bharamasagara,14.36744954,76.19250172,14.2932281,76.23039048,14.0281,₹2
577519,CTA_Bharamasagara,14.36744954,76.19250172,14.37949487,76.19962141,2.1979,₹0
