Pincode,Hub Name,Cluster_Code,Description,Cluster_Category,Polygon WKT
761115,ASK_Asika,761115_A,₹0,C1,"POLYGON ((84.6586985396638 19.652964597763447, 84.657498 19.646791, 84.65372 19.635797, 84.660745 19.629345, 84.660758 19.629333, 84.66296 19.627311, 84.662458 19.626824, 84.661647 19.626677, 84.659283 19.626248, 84.658645 19.626284, 84.658006 19.62632, 84.657205 19.625784, 84.656598 19.626169, 84.655801 19.626577, 84.655429 19.626291, 84.654815 19.625891, 84.654121 19.625707, 84.649932 19.625247, 84.648335 19.625072, 84.635083 19.62366, 84.626912 19.625355, 84.624713 19.622555, 84.618494 19.621892, 84.614716 19.621892, 84.61307151444704 19.624884471951685, 84.615734056605 19.63534014172468, 84.62731344992412 19.648113266860502, 84.64378945561369 19.654541879997737, 84.649765 19.654984864236756, 84.6586985396638 19.652964597763447))"
761115,ASK_Asika,761115_B,₹1,C3,"POLYGON ((84.62832523818487 19.686370173988532, 84.63007 19.685996, 84.63026166291745 19.687125754945324, 84.63781126374688 19.690071562506088, 84.649765 19.6909577284735, 84.65079637838636 19.690724485578976, 84.658477 19.679081, 84.656323 19.671938, 84.66061 19.662794, 84.6586985396638 19.652964597763447, 84.649765 19.654984864236756, 84.64378945561369 19.654541879997737, 84.62731344992412 19.648113266860502, 84.615734056605 19.63534014172468, 84.61307151444704 19.624884471951685, 84.611305 19.628099, 84.616405 19.638788, 84.610505 19.6435, 84.60968 19.644159, 84.609163 19.644571, 84.605597 19.647419, 84.601054 19.653099, 84.601028 19.653131, 84.602451 19.656976, 84.605232 19.669696, 84.605262 19.669748, 84.606162 19.67129, 84.6110211787595 19.679618237000234, 84.62832523818487 19.686370173988532))"
761115,ASK_Asika,761115_C,₹2,C5,"POLYGON ((84.61965946863644 19.7208518532319, 84.619758 19.720847, 84.619758 19.72088, 84.619809 19.717685, 84.619913 19.711268, 84.620254 19.690253, 84.621084 19.689664, 84.621804 19.689154, 84.624605 19.687168, 84.62832523818487 19.686370173988532, 84.6110211787595 19.679618237000234, 84.620172 19.695302, 84.612158 19.69902, 84.590949 19.708859, 84.59019417241274 19.709354278318596, 84.61965946863644 19.7208518532319))"
761115,ASK_Asika,761115_D,₹2,C5,"POLYGON ((84.63026166291745 19.687125754945324, 84.632193 19.69851, 84.629111 19.700537, 84.628941 19.700649, 84.630603 19.702637, 84.636161 19.710323, 84.636407 19.710288, 84.636561 19.710114, 84.636653 19.710252, 84.637951 19.710195, 84.637951 19.710196, 84.637952 19.710196, 84.65079637838636 19.690724485578976, 84.649765 19.6909577284735, 84.63781126374688 19.690071562506088, 84.63026166291745 19.687125754945324))"
761115,ASK_Asika,761115_E,₹3,C7,"POLYGON ((84.59019417241274 19.709354278318596, 84.579351 19.716469, 84.582486 19.71708, 84.589528 19.722336, 84.61965946863644 19.7208518532319, 84.59019417241274 19.709354278318596))"
761116,ASK_Asika,761116_A,₹1,C3,"POLYGON ((84.7115738901774 19.66129008956013, 84.71221169850807 19.6598382651673, 84.711507 19.655602, 84.696822 19.655925, 84.673713 19.660309, 84.66061 19.662794, 84.656323 19.671938, 84.658477 19.679081, 84.660323 19.678282, 84.661294 19.679767, 84.663055 19.681796, 84.662317 19.683485, 84.662918 19.685263, 84.663852 19.685041, 84.66418 19.684934, 84.664625 19.684788, 84.66558 19.684829, 84.669578 19.684168, 84.67031331344592 19.686310793683052, 84.68445458818174 19.683112790025763, 84.7115738901774 19.66129008956013))"
761116,ASK_Asika,761116_B,₹2,C5,"POLYGON ((84.71001918653758 19.708553846342554, 84.713358 19.699373, 84.716831 19.687607, 84.71221169850807 19.6598382651673, 84.7115738901774 19.66129008956013, 84.68445458818174 19.683112790025763, 84.67031331344592 19.686310793683052, 84.680978 19.717389, 84.681267 19.718244, 84.681508 19.718957, 84.68175731436618 19.719695545439514, 84.70180979079447 19.715160687060923, 84.71001918653758 19.708553846342554))"
761116,ASK_Asika,761116_C,₹3,C7,"POLYGON ((84.70180979079447 19.715160687060923, 84.68175731436618 19.719695545439514, 84.681959 19.720293, 84.701175 19.732873, 84.71001918653758 19.708553846342554, 84.70180979079447 19.715160687060923))"
761104,ASK_Asika,761104_A,₹1,C3,"POLYGON ((84.72239653482343 19.596764990607397, 84.70375665437302 19.56813064600963, 84.70253458897211 19.567425337040724, 84.708876 19.581916, 84.72400048895103 19.61585677520508, 84.72239653482343 19.596764990607397))"
761104,ASK_Asika,761104_B,₹2,C5,"POLYGON ((84.76293614704294 19.635858832130825, 84.75870476783854 19.585630576658144, 84.73750436219574 19.553072609320424, 84.736963 19.553117, 84.73544 19.553242, 84.734302 19.553335, 84.732915 19.553449, 84.728446 19.553815, 84.726932 19.553939, 84.724617 19.554405, 84.722854 19.554759, 84.718355 19.555664, 84.718028 19.55573, 84.717509 19.555834, 84.717151 19.555906, 84.716572 19.556023, 84.71626 19.556086, 84.716071 19.556124, 84.715558 19.556227, 84.714728 19.556394, 84.713885 19.556563, 84.71478 19.557613, 84.715665 19.55826, 84.716078 19.558543, 84.716286 19.558685, 84.716481 19.558838, 84.719208 19.561227, 84.70252 19.567392, 84.70253458897211 19.567425337040724, 84.70375665437302 19.56813064600963, 84.72239653482343 19.596764990607397, 84.72400048895103 19.61585677520508, 84.725681 19.619628, 84.726416 19.642576, 84.72651 19.645493, 84.726672 19.655449, 84.75445732612233 19.6551683254124, 84.76293614704294 19.635858832130825))"
